Title,Production_Cost,Domestic_Growth,Worldwide_Growth
Pacific Rim,190000000,101802906,101802906
The Good Dinosaur,187500000,123087120,123087120
Iron Man,186000000,318604126,318604126
The Dark Knight,185000000,533720947,533720947
Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,317101119
Brave,185000000,237282182,237282182
Kong: Skull Island,185000000,168052812,168052812
Star Trek Beyond,185000000,158848340,158848340
Maleficent: Mistress of Evil,185000000,100012127,100012127
Blade Runner 2049,185000000,92054159,92054159
Terminator: Dark Fate,185000000,51164755,51164755
Aladdin,182000000,355559216,355559216
Thor: Ragnarok,180000000,315058289,315058289
"The Chronicles of Narnia: The Lion, the Witch a…",180000000,291710957,291710957
Maleficent,180000000,241407328,241407328
Fantastic Beasts and Where to Find Them,180000000,234037575,234037575
WALL-E,180000000,223808164,223808164
Rush Hour 3,180000000,140125968,140125968
The Legend of Tarzan,180000000,126643061,126643061
Hugo,180000000,73864507,73864507
Valerian and the City of a Thousand Planets,180000000,40479370,40479370
Jupiter Ascending,179000000,47482519,47482519
Mission: ImpossibleâFallout,178000000,220159104,220159104
X-Men: Apocalypse,178000000,155442489,155442489
The Meg,178000000,145443742,145443742
Edge of Tomorrow,178000000,100206256,100206256
Captain Marvel,175000000,426829839,426829839
The Jungle Book,175000000,364001123,364001123
Inside Out,175000000,356461711,356461711
Spider-Man: Homecoming,175000000,334201140,334201140
Suicide Squad,175000000,325100054,325100054
Up,175000000,293004164,293004164
Coco,175000000,209726015,209726015
Ralph Breaks The Internet,175000000,201091711,201091711
Monsters vs. Aliens,175000000,198351526,198351526
Cars 3,175000000,152901115,152901115
G.I. Joe: The Rise of Cobra,175000000,150201498,150201498
Wild Wild West,175000000,113805681,113805681
The Mummy: Tomb of the Dragon Emperor,175000000,102491776,102491776
Evan Almighty,175000000,100289690,100289690
Waterworld,175000000,88246220,88246220
King Arthur: Legend of the Sword,175000000,39175066,39175066
47 Ronin,175000000,38362475,38362475
Dolittle,175000000,0,0
Jurassic World: Fallen Kingdom,170000000,417719760,417719760
Guardians of the Galaxy,170000000,333172112,333172112
Iron Man 2,170000000,312433331,312433331
Captain America: The Winter Soldier,170000000,259746958,259746958
Dawn of the Planet of the Apes,170000000,208545589,208545589
The Polar Express,170000000,187224605,187224605
Snow White and the Huntsman,170000000,155136755,155136755
Terminator 3: Rise of the Machines,170000000,150358296,150358296
Van Helsing,170000000,120150546,120150546
Dumbo,170000000,114766307,114766307
Godzilla: King of the Monsters,170000000,110500138,110500138
Tomorrowland,170000000,93436322,93436322
Alita: Battle Angel,170000000,85710210,85710210
Alice Through the Looking Glass,170000000,77042381,77042381
Shrek Forever After,165000000,238736787,238736787
Doctor Strange,165000000,232641920,232641920
Big Hero 6,165000000,222527828,222527828
How to Train Your Dragon,165000000,217581232,217581232
Wreck-It Ralph,165000000,189412677,189412677
Interstellar,165000000,188017894,188017894
Independence Day: Resurgence,165000000,103144286,103144286
Cowboys and Aliens,163000000,100368560,100368560
Beauty and the Beast,160000000,504014165,504014165
Spider-Man: Far From Home,160000000,390532085,390532085
Aquaman,160000000,335061807,335061807
Shrek the Third,160000000,322719944,322719944
Inception,160000000,292576195,292576195
The Hunger Games: Mockingjay - Part 2,160000000,281723902,281723902
Fast and Furious 6,160000000,238679850,238679850
Godzilla,160000000,200676069,200676069
X-Men: First Class,160000000,146408305,146408305
The Curious Case of Benjamin Button,160000000,127509326,127509326
The Sorcerer's Apprentice,160000000,63150991,63150991
Poseidon,160000000,60674817,60674817
Warcraft,160000000,47365290,47365290
The Irishman,159000000,0,0
Deepwater Horizon,156000000,61433527,61433527
The Chronicles of Narnia: The Voyage of the Daw…,155000000,104386950,104386950
Terminator: Genisys,155000000,89760956,89760956
Pacific Rim: Uprising,155000000,59874525,59874525
Alexander,155000000,34297191,34297191
War for the Planet of the Apes,152000000,146880162,146880162
Pearl Harbor,151500000,198539855,198539855
Transformers,151000000,319246193,319246193
Wonder Woman,150000000,412563408,412563408
Frozen,150000000,400738009,400738009
Zootopia,150000000,341268248,341268248
Harry Potter and the Order of the Phoenix,150000000,292137260,292137260
Harry Potter and the Goblet of Fire,150000000,290201752,290201752
The Matrix Reloaded,150000000,281553689,281553689
I am Legend,150000000,256393010,256393010
Moana,150000000,248757044,248757044
Hancock,150000000,227946274,227946274
Charlie and the Chocolate Factory,150000000,206459076,206459076
Ratatouille,150000000,206445654,206445654
Thor: The Dark World,150000000,206362140,206362140
Batman Begins,150000000,205343774,205343774
Mission: ImpossibleâRogue Nation,150000000,195042377,195042377
Dunkirk,150000000,190068280,190068280
Thor,150000000,181030624,181030624
Madagascar: Escape 2 Africa,150000000,180174880,180174880
X-Men Origins: Wolverine,150000000,179883157,179883157
Night at the Museum: Battle of the Smithsonian,150000000,177243721,177243721
Kung Fu Panda 2,150000000,165249063,165249063
Mad Max: Fury Road,150000000,153636354,153636354
PokÃ©mon: Detective Pikachu,150000000,144105346,144105346
The Matrix Revolutions,150000000,139270910,139270910
Ready Player One,150000000,137690172,137690172
Chicken Little,150000000,135386665,135386665
Mission: Impossible III,150000000,133501348,133501348
Angels & Demons,150000000,133375846,133375846
Troy,150000000,133298577,133298577
The Last Airbender,150000000,131772187,131772187
Bee Movie,150000000,126631277,126631277
G-Force,150000000,119436770,119436770
Bolt,150000000,114053579,114053579
Wrath of the Titans,150000000,83670083,83670083
Beowulf,150000000,82280579,82280579
Dark Shadows,150000000,79727149,79727149
White House Down,150000000,73103784,73103784
The Wolfman,150000000,62189884,62189884
The Great Wall,150000000,45157105,45157105
Pan,150000000,35088320,35088320
Mars Needs Moms,150000000,21392758,21392758
Moonfall,150000000,0,0
Flushed Away,149000000,64665672,64665672
Madagascar 3: Europe's Most Wanted,145000000,216391482,216391482
Mission: ImpossibleâGhost Protocol,145000000,209397903,209397903
How to Train Your Dragon 2,145000000,177002924,177002924
Tarzan,145000000,171091819,171091819
Mr. Peabody & Sherman,145000000,111506430,111506430
Rise of the Guardians,145000000,103412758,103412758
Sahara,145000000,68671925,68671925
Ghostbusters,144000000,128350574,128350574
Die Another Day,142000000,160942139,160942139
Pirates of the Caribbean: The Curse of the Blac…,140000000,305410819,305410819
Star Trek,140000000,257730019,257730019
Armageddon,140000000,201578182,201578182
Men in Black 2,140000000,190418803,190418803
Captain America: The First Avenger,140000000,176654505,176654505
Kung Fu Panda 3,140000000,143528619,143528619
Lethal Weapon 4,140000000,130444603,130444603
G.I. Joe: Retaliation,140000000,122523060,122523060
The Last Samurai,140000000,111110575,111110575
Fun With Dick And Jane,140000000,110550000,110550000
Exodus: Gods and Kings,140000000,65014513,65014513
The BFG,140000000,55483770,55483770
Gods of Egypt,140000000,31153464,31153464
Spider-Man,139000000,407677927,407677927
Watchmen,138000000,107509799,107509799
Stealth,138000000,32116746,32116746
The Incredible Hulk,137500000,134806913,134806913
Hulk,137000000,132177234,132177234
Final Fantasy: The Spirits Within,137000000,32131830,32131830
"The Twilight Saga: Breaking Dawn, Part 2",136200000,292324737,292324737
The Croods,135000000,187168425,187168425
The Revenant,135000000,183637894,183637894
The World is Not Enough,135000000,126930660,126930660
Rango,135000000,123477607,123477607
Master and Commander: The Far Side of the World,135000000,93926386,93926386
Turbo,135000000,83028130,83028130
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,82051601
Happy Feet Two,135000000,64006466,64006466
Miami Vice,135000000,63478838,63478838
The Nutcracker and the Four Realms,132900000,54858851,54858851
War of the Worlds,132000000,234280354,234280354
Penguins of Madagascar,132000000,83350911,83350911
The Hunger Games: Catching Fire,130000000,424668047,424668047
Harry Potter and the Prisoner of Azkaban,130000000,249757726,249757726
The Bourne Ultimatum,130000000,227471070,227471070
Ant-Man and the Wasp,130000000,216648740,216648740
Kung Fu Panda,130000000,215434591,215434591
Ant-Man,130000000,180202163,180202163
Home,130000000,177397510,177397510
Mary Poppins Returns,130000000,171958438,171958438
Puss in Boots,130000000,149260504,149260504
Megamind,130000000,148415853,148415853
Bad Boys II,130000000,138540870,138540870
Rio 2,130000000,131538435,131538435
Salt,130000000,118311368,118311368
Noah,130000000,101200044,101200044
The Adventures of Tintin,130000000,77591831,77591831
After Earth,130000000,60522097,60522097
Australia,130000000,49554002,49554002
R.I.P.D.,130000000,33618855,33618855
How to Train Your Dragon: The Hidden World,129000000,160799505,160799505
"The Twilight Saga: Breaking Dawn, Part 1",127500000,281287133,281287133
Dinosaur,127500000,137748063,137748063
Logan,127000000,226277068,226277068
Night at the Museum: Secret of the Tomb,127000000,113746621,113746621
Harry Potter and the Deathly Hallows: Part II,125000000,381193157,381193157
The Hunger Games: Mockingjay - Part 1,125000000,337135885,337135885
Harry Potter and the Sorcererâs Stone,125000000,317871467,317871467
Harry Potter and the Deathly Hallows: Part I,125000000,296131568,296131568
The Da Vinci Code,125000000,217536138,217536138
X-Men 2,125000000,214949694,214949694
Fast Five,125000000,210031325,210031325
Teenage Mutant Ninja Turtles,125000000,191204754,191204754
Sherlock Holmes: A Game of Shadows,125000000,186848418,186848418
The Day After Tomorrow,125000000,186740799,186740799
The Boss Baby,125000000,175003033,175003033
Clash of the Titans,125000000,163214888,163214888
Trolls,125000000,153707064,153707064
Godzilla,125000000,136314294,136314294
Prometheus,125000000,126477084,126477084
The Bourne Legacy,125000000,113203870,113203870
Batman & Robin,125000000,107325195,107325195
Skyscraper,125000000,68420120,68420120
Total Recall,125000000,58877969,58877969
Assassinâs Creed,125000000,54647948,54647948
Monster Trucks,125000000,33370166,33370166
The 13th Warrior,125000000,32698899,32698899
How the Grinch Stole Christmas,123000000,260044825,260044825
Mission: Impossible 2,120000000,215409889,215409889
The Perfect Storm,120000000,182618434,182618434
Jason Bourne,120000000,162192920,162192920
Fantastic Four: Rise of the Silver Surfer,120000000,131921738,131921738
Life of Pi,120000000,124987022,124987022
Ghost Rider,120000000,115802596,115802596
Rampage,120000000,101028233,101028233
Charlie's Angels: Full Throttle,120000000,100814328,100814328
Elysium,120000000,93050117,93050117
Oblivion,120000000,89107235,89107235
Power Rangers,120000000,85364450,85364450
Stuart Little 2,120000000,64956806,64956806
RoboCop,120000000,58607007,58607007
The Chronicles of Riddick,120000000,57712751,57712751
The Fantastic Four,120000000,56117548,56117548
Speed Racer,120000000,43945766,43945766
The Island,120000000,35818913,35818913
How Do You Know?,120000000,30212620,30212620
Knight and Day,117000000,76423035,76423035
Venom,116000000,213511408,213511408
Star Wars Ep. I: The Phantom Menace,115000000,474544677,474544677
Star Wars Ep. III: Revenge of the Sith,115000000,380270577,380270577
Star Wars Ep. II: Attack of the Clones,115000000,310676740,310676740
"Monsters, Inc.",115000000,289423425,289423425
The Wolverine,115000000,132556852,132556852
Dante's Peak,115000000,67163857,67163857
The Huntsman: Winterâs War,115000000,48003015,48003015
Windtalkers,115000000,40914068,40914068
AstÃ©rix aux Jeux Olympiques,113500000,999811,999811
Gulliver's Travels,112000000,42779261,42779261
Ferdinand,111000000,84410380,84410380
Deadpool 2,110000000,324591735,324591735
Gravity,110000000,274092705,274092705
Night at the Museum,110000000,250863268,250863268
Mr. and Mrs. Smith,110000000,186336279,186336279
San Andreas,110000000,155190832,155190832
The Smurfs,110000000,142614158,142614158
Live Free or Die Hard,110000000,134529403,134529403
The Divergent Series: Insurgent,110000000,130179072,130179072
Ocean's Twelve,110000000,125531634,125531634
Tomorrow Never Dies,110000000,125304276,125304276
The Patriot,110000000,113330342,113330342
300: Rise of an Empire,110000000,106580051,106580051
The Aviator,110000000,102608827,102608827
Passengers,110000000,100014699,100014699
The Green Hornet,110000000,98780042,98780042
Miss Peregrineâs Home for Peculiar Children,110000000,87242834,87242834
Real Steel,110000000,85463309,85463309
Men in Black: International,110000000,80001807,80001807
The A-Team,110000000,77222099,77222099
The Smurfs 2,110000000,71017784,71017784
The Divergent Series: Allegiant,110000000,66184051,66184051
The Taking of Pelham 123,110000000,65452312,65452312
Ender's Game,110000000,61737191,61737191
Home on the Range,110000000,50026353,50026353
Speed 2: Cruise Control,110000000,48097081,48097081
Kingdom of Heaven,110000000,47398413,47398413
Ghost in the Shell,110000000,40563557,40563557
Around the World in 80 Days,110000000,24004159,24004159
The Lord of the Rings: The Fellowship of the Ring,109000000,315544750,315544750
The Cat in the Hat,109000000,101018283,101018283
Ali,109000000,58183966,58183966
The Martian,108000000,228433663,228433663
Allied,106000000,40098064,40098064
"I, Robot",105000000,144801023,144801023
Stuart Little,105000000,140015224,140015224
The Princess and the Frog,105000000,104400899,104400899
"10,000 B.C.",105000000,94784201,94784201
Ice Age: Collision Course,105000000,64063008,64063008
Town & Country,105000000,6712451,6712451
Kingsman: The Golden Circle,104000000,100234838,100234838
Gone in 60 Seconds,103300000,101643008,101643008
Gladiator,103000000,187683805,187683805
The Hangover 3,103000000,112200072,112200072
A Wrinkle in Time,103000000,100478608,100478608
Public Enemies,102500000,97104620,97104620
Casino Royale,102000000,167365000,167365000
Minority Report,102000000,132024714,132024714
Bumblebee,102000000,127195589,127195589
Cloud Atlas,102000000,27108272,27108272
Harry Potter and the Chamber of Secrets,100000000,262233381,262233381
Terminator 2: Judgment Day,100000000,203464105,203464105
Batman Forever,100000000,184031112,184031112
Planet of the Apes,100000000,180011740,180011740
National Treasure,100000000,173005002,173005002
Django Unchained,100000000,162805434,162805434
Little Fockers,100000000,148438600,148438600
True Lies,100000000,146282411,146282411
American Gangster,100000000,130164645,130164645
Cloudy with a Chance of Meatballs,100000000,124870275,124870275
The Other Guys,100000000,119219978,119219978
Lemony Snicket's A Series of Unfortunate Events,100000000,118627117,118627117
The Wolf of Wall Street,100000000,116900694,116900694
Epic,100000000,107518682,107518682
Eraser,100000000,101295562,101295562
The Hunchback of Notre Dame,100000000,100138851,100138851
The Emperor's New Groove,100000000,89296573,89296573
The Expendables 2,100000000,85028192,85028192
Where the Wild Things Are,100000000,77233467,77233467
Eragon,100000000,75030163,75030163
Hercules,100000000,72688614,72688614
The Tourist,100000000,67631157,67631157
End of Days,100000000,66889043,66889043
The Stepford Wives,100000000,59475623,59475623
Surf's Up,100000000,58867694,58867694
Blood Diamond,100000000,57377916,57377916
Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313,55675313
Starship Troopers,100000000,54768952,54768952
Land of the Lost,100000000,49438370,49438370
Peter Pan,100000000,48417850,48417850
Wonder Park,100000000,45216793,45216793
Catwoman,100000000,40202379,40202379
The Expendables 3,100000000,39322544,39322544
Treasure Planet,100000000,38120554,38120554
Green Zone,100000000,35497337,35497337
Geostorm,100000000,33700160,33700160
Point Break,100000000,28782481,28782481
In the Heart of the Sea,100000000,25020758,25020758
Midway,100000000,23574563,23574563
Transcendence,100000000,23022309,23022309
Son of the Mask,100000000,17018422,17018422
Mortal Engines,100000000,15951040,15951040
The Adventures of Pluto Nash,100000000,4411102,4411102
Jin lÃ­ng shÃ­ san chai,100000000,311434,311434
The Peanuts Movie,99000000,130178411,130178411
The LEGO Movie 2: The Second Part,99000000,105806508,105806508
Robin Hood,99000000,30824628,30824628
The Mummy Returns,98000000,202007640,202007640
Ford v. Ferrari,97600000,0,0
Gangs of New York,97000000,77730500,77730500
Alien: Covenant,97000000,74262031,74262031
Cinderella,95000000,201151353,201151353
Ice Age: Continental Drift,95000000,161321843,161321843
Black Hawk Down,95000000,108638745,108638745
Sex and the City 2,95000000,95347692,95347692
Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,88768303
The Campaign,95000000,86907746,86907746
Unstoppable,95000000,81562942,81562942
The Fifth Element,95000000,63570862,63570862
The Road to El Dorado,95000000,50802661,50802661
The Lovely Bones,95000000,44114232,44114232
Ben-Hur,95000000,26410477,26410477
Seventh Son,95000000,17725785,17725785
Finding Nemo,94000000,380529370,380529370
The Lord of the Rings: The Return of the King,94000000,377845905,377845905
The Lord of the Rings: The Two Towers,94000000,342548984,342548984
Lara Croft: Tomb Raider,94000000,131144183,131144183
Kingsman: The Secret Service,94000000,128261724,128261724
Jurassic Park III,93000000,181166115,181166115
Rise of the Planet of the Apes,93000000,176760185,176760185
The Spiderwick Chronicles,92500000,71195053,71195053
The Incredibles,92000000,261441092,261441092
A Good Day to Die Hard,92000000,67349198,67349198
The Alamo,92000000,22406362,22406362
Cutthroat Island,92000000,10017322,10017322
The Secret Life of Walter Mitty,91000000,58236838,58236838
Jumanji: Welcome to the Jungle,90000000,404508916,404508916
Men in Black,90000000,250690539,250690539
Toy Story 2,90000000,245852179,245852179
Rush Hour 2,90000000,226164286,226164286
Sherlock Holmes,90000000,209028679,209028679
Ice Age: Dawn of the Dinosaurs,90000000,196573705,196573705
Spider-Man: Into The Spider-Verse 3D,90000000,190173195,190173195
What Lies Beneath,90000000,155464351,155464351
Rio,90000000,143619809,143619809
Once Upon a Timeâ¦in Hollywood,90000000,140878766,140878766
The Departed,90000000,132384315,132384315
Charlie's Angels,90000000,125305545,125305545
Mulan,90000000,120620254,120620254
Tropic Thunder,90000000,110515313,110515313
The Girl with the Dragon Tattoo,90000000,102515793,102515793
Contact,90000000,100920329,100920329
You Don't Mess With the Zohan,90000000,100018837,100018837
Die Hard: With a Vengeance,90000000,100012499,100012499
The Magnificent Seven,90000000,93432655,93432655
Alvin and the Chipmunks: The Road Chip,90000000,85886987,85886987
Atlantis: The Lost Empire,90000000,84052762,84052762
Valkyrie,90000000,83107829,83107829
Pixels,90000000,78765986,78765986
Artificial Intelligence: AI,90000000,78616689,78616689
The Haunted Mansion,90000000,75817994,75817994
Hollow Man,90000000,73209340,73209340
The Interpreter,90000000,72708161,72708161
Percy Jackson: Sea of Monsters,90000000,68559554,68559554
Lara Croft: Tomb Raider: The Cradle of Life,90000000,65653758,65653758
Now You See Me 2,90000000,65075540,65075540
Spy Game,90000000,62362560,62362560
The Saint,90000000,61363304,61363304
Mission to Mars,90000000,60874615,60874615
Tomb Raider,90000000,58250803,58250803
Bicentennial Man,90000000,58220776,58220776
King Arthur,90000000,51877963,51877963
Volcano,90000000,47546796,47546796
The Devil's Own,90000000,42885593,42885593
K-19: The Widowmaker,90000000,35168966,35168966
Conan the Barbarian,90000000,21295021,21295021
The Three Musketeers,90000000,20377913,20377913
The Promise,90000000,8224288,8224288
The Nutcracker in 3D,90000000,195459,195459
Bright,90000000,0,0
Sonic The Hedgehog,90000000,0,0
Army of the Dead,90000000,0,0
Twister,88000000,241688385,241688385
Cinderella Man,88000000,61649911,61649911
The Predator,88000000,51024708,51024708
Fantastic Four,87500000,154696080,154696080
Hannibal,87000000,165092266,165092266
Seabiscuit,86000000,120277854,120277854
Cast Away,85000000,233632142,233632142
Happy Feet,85000000,198000317,198000317
Ocean's Eleven,85000000,183417150,183417150
The Bourne Supremacy,85000000,176087450,176087450
Air Force One,85000000,172956409,172956409
Fast & Furious,85000000,155064265,155064265
Horton Hears a Who,85000000,154529439,154529439
Divergent,85000000,150947895,150947895
Hotel Transylvania,85000000,148313048,148313048
Shazam!,85000000,140371656,140371656
Enchanted,85000000,127706877,127706877
Safe House,85000000,126181630,126181630
I Now Pronounce You Chuck and Larry,85000000,119725280,119725280
Ocean's Thirteen,85000000,117144465,117144465
Itâs Complicated,85000000,112735375,112735375
Enemy of the State,85000000,111549836,111549836
Open Season,85000000,85105259,85105259
Tower Heist,85000000,78046570,78046570
102 Dalmatians,85000000,66941559,66941559
Mirror Mirror,85000000,64935167,64935167
The Holiday,85000000,63280000,63280000
The Fast and the Furious: Tokyo Drift,85000000,62615510,62615510
Memoirs of a Geisha,85000000,57010853,57010853
Enemy at the Gates,85000000,51396781,51396781
Last Action Hero,85000000,50016394,50016394
The Rundown,85000000,47641743,47641743
Arthur Christmas,85000000,46462469,46462469
xXx: Return of Xander Cage,85000000,44898413,44898413
Meet Joe Black,85000000,44650003,44650003
Cats & Dogs: The Revenge of Kitty Galore,85000000,43585753,43585753
Collateral Damage,85000000,40048332,40048332
Showtime,85000000,37948765,37948765
Judge Dredd,85000000,34687912,34687912
Zodiac,85000000,33080084,33080084
Scott Pilgrim vs. The World,85000000,31611316,31611316
The Core,85000000,31111260,31111260
Father's Day,85000000,28681080,28681080
The Greatest Showman,84000000,174340174,174340174
Scooby-Doo,84000000,153294164,153294164
Nutty Professor II: The Klumps,84000000,123307945,123307945
RED 2,84000000,53262560,53262560
Click,82500000,137355633,137355633
Charlotte's Web,82500000,82985708,82985708
Jumper,82500000,80172128,80172128
Hellboy II: The Golden Army,82500000,75986503,75986503
The Longest Yard,82000000,158119460,158119460
The Expendables,82000000,103068524,103068524
The 6th Day,82000000,34543701,34543701
Call of the Wild,82000000,0,0
Bruce Almighty,81000000,242704995,242704995
The Hunger Games,80000000,408010692,408010692
The Hangover Part II,80000000,254464305,254464305
Mission: Impossible,80000000,180981886,180981886
The Lego Batman Movie,80000000,175750384,175750384
Hotel Transylvania 2,80000000,169700110,169700110
Batman Returns,80000000,162833635,162833635
The Secret Life of Pets 2,80000000,158257265,158257265
The Mummy,80000000,155385488,155385488
Over the Hedge,80000000,155019340,155019340
Lilo & Stitch,80000000,145771527,145771527
Deep Impact,80000000,140464664,140464664
Grown Ups 2,80000000,133668525,133668525
Alvin and the Chipmunks: Chipwrecked,80000000,133107389,133107389
Get Smart,80000000,130319208,130319208
Robots,80000000,128200012,128200012
Shutter Island,80000000,128012934,128012934
Something's Gotta Give,80000000,124685242,124685242
Four Christmases,80000000,120146040,120146040
Face/Off,80000000,112276146,112276146
Bedtime Stories,80000000,110101975,110101975
Road to Perdition,80000000,104054514,104054514
Just Go With It,80000000,103028109,103028109
Daredevil,80000000,102543518,102543518
Eagle Eye,80000000,101440743,101440743
Con Air,80000000,101117573,101117573
Yogi Bear,80000000,100246011,100246011
Cold Mountain,80000000,95632614,95632614
The Book of Eli,80000000,94835059,94835059
Flubber,80000000,92993801,92993801
The Haunting,80000000,91188905,91188905
Space Jam,80000000,90463534,90463534
Fury,80000000,85817906,85817906
Smallfoot,80000000,83240103,83240103
The Pink Panther,80000000,82226474,82226474
Zookeeper,80000000,80360866,80360866
The Day the Earth Stood Still,80000000,79366978,79366978
Conspiracy Theory,80000000,76118990,76118990
"Six Days, Seven Nights",80000000,74339294,74339294
Spirit: Stallion of the Cimarron,80000000,73215310,73215310
Swordfish,80000000,69772969,69772969
Fantasia 2000 (Theatrical Release),80000000,69610858,69610858
Lost In Space,80000000,69117629,69117629
The Manchurian Candidate,80000000,65948711,65948711
DÃ©jÃ  Vu,80000000,64038616,64038616
Bewitched,80000000,63313159,63313159
The Time Machine,80000000,56684819,56684819
What Dreams May Come,80000000,55485043,55485043
Mighty Joe Young,80000000,50632037,50632037
Ad Astra,80000000,50005312,50005312
The Legend of Zorro,80000000,45575336,45575336
Little Nicky,80000000,39442871,39442871
Surrogates,80000000,38577772,38577772
Evolution,80000000,38311134,38311134
The Brothers Grimm,80000000,37899638,37899638
Mars Attacks!,80000000,37771017,37771017
The Wild,80000000,37384046,37384046
Walking with Dinosaurs,80000000,36076121,36076121
Thirteen Days,80000000,34566746,34566746
Daylight,80000000,32908290,32908290
The Last Witch Hunter,80000000,27367660,27367660
Pompeii,80000000,23169033,23169033
Battlefield Earth: A Saga of the Year 3000,80000000,21471685,21471685
Looney Tunes: Back in Action,80000000,20950820,20950820
Nine,80000000,19676965,19676965
Timeline,80000000,19480739,19480739
Oceans,80000000,19422319,19422319
Babe: Pig in the City,80000000,18319860,18319860
The Postman,80000000,17650704,17650704
Red Planet,80000000,17480890,17480890
Arthur et les Minimoys,80000000,15132763,15132763
The Invasion,80000000,15074191,15074191
A Sound of Thunder,80000000,1900451,1900451
The Aeronauts,80000000,0,0
The Lion King,79300000,421785283,421785283
Journey 2: The Mysterious Island,79000000,103860290,103860290
Jack and Jill,79000000,74158157,74158157
A Beautiful Mind,78000000,170708996,170708996
Cloudy with a Chance of Meatballs 2,78000000,119793567,119793567
Red Dragon,78000000,92955420,92955420
Hidalgo,78000000,67286731,67286731
The League of Extraordinary Gentlemen,78000000,66465204,66465204
Exorcist: The Beginning,78000000,41814863,41814863
AstÃ©rix et ObÃ©lix: Au service de Sa MajestÃ© ,77600000,0,0
The Little Prince,77500000,1311213,1311213
Renegades,77500000,0,0
The Equalizer 2,77000000,102084362,102084362
Despicable Me 2,76000000,368065385,368065385
2 Fast 2 Furious,76000000,127120058,127120058
Children of Men,76000000,35552383,35552383
The Adventures of Rocky & Bullwinkle,76000000,26000610,26000610
The Secret Life of Pets,75000000,368384330,368384330
Independence Day,75000000,306169255,306169255
